PersonnelNumber,YearsExperience,Skill Id,Index,Rating,Area,Area id
E00281,20,420,27,3,AppDev,1
E00287,12,14,1,4,AppDev,1
E00287,2,15,2,3,AppDev,1
E00287,16,17,3,4,AppDev,1
E00287,5,18,4,3,AppDev,1
E00287,5,26,5,3,AppDev,1
E00287,3,28,6,3,AppDev,1
E00287,5,29,7,3,AppDev,1
E00287,5,30,8,3,AppDev,1
E00287,1,38,9,2,AppDev,1
E00287,5,45,10,3,AppDev,1
E00287,10,46,11,3,AppDev,1
E00287,15,47,12,4,AppDev,1
E00287,15,50,13,3,AppDev,1
E00287,5,56,14,3,AppDev,1
E00287,1,141,15,2,AppDev,1
E00287,1,143,16,2,AppDev,1
E00287,2,146,17,2,AppDev,1
E00287,12,151,18,3,AppDev,1
E00287,1,156,19,3,AppDev,1
E00287,1,174,20,3,AppDev,1
E00287,5,183,21,3,AppDev,1
E00287,1,189,22,2,AppDev,1
E00287,1,263,23,2,AppDev,1
E00287,1,289,24,2,AppDev,1
E00287,2,352,25,3,AppDev,1
E00287,15,378,26,3,AppDev,1
E00287,1,379,27,2,AppDev,1
E00287,1,380,28,2,AppDev,1
E00287,2,385,29,2,AppDev,1
E00287,15,388,30,4,AppDev,1
E00287,5,389,31,2,AppDev,1
E00287,2,413,32,2,AppDev,1
E00287,15,420,33,4,AppDev,1
E00287,2,421,34,4,AppDev,1
E00287,5,423,35,4,AppDev,1
E00287,5,425,36,4,AppDev,1
E00287,1,429,37,4,AppDev,1
E00287,1,431,38,4,AppDev,1
E00287,10,433,39,4,AppDev,1
E00287,15,442,40,4,AppDev,1
E00287,15,446,41,4,AppDev,1
E00287,5,447,42,4,AppDev,1
E00287,1,475,43,2,AppDev,1
E00287,1,496,44,3,AppDev,1
E00288,0,2,1,1,AppDev,1
E00288,0,13,2,1,AppDev,1
E00288,10,14,3,3,AppDev,1
E00288,4,15,4,3,AppDev,1
E00288,10,17,5,3,AppDev,1
E00288,11,18,6,3,AppDev,1
E00288,1,23,7,3,AppDev,1
E00288,1,25,8,2,AppDev,1
E00288,4,26,9,3,AppDev,1
E00288,5,28,10,3,AppDev,1
E00288,8,29,11,3,AppDev,1
E00288,4,30,12,3,AppDev,1
E00288,4,45,13,3,AppDev,1
E00288,17,47,14,3,AppDev,1
E00288,12,56,15,3,AppDev,1
E00288,1,134,16,2,AppDev,1
E00288,3,142,17,1,AppDev,1
E00288,17,151,18,3,AppDev,1
E00288,2,169,19,3,AppDev,1
E00288,1,262,20,3,AppDev,1
E00288,3,263,21,2,AppDev,1
E00288,1,273,22,2,AppDev,1
E00288,0,304,23,1,AppDev,1
E00288,2,352,24,3,AppDev,1
E00288,18,378,25,3,AppDev,1
E00288,4,380,26,3,AppDev,1
E00288,2,382,27,3,AppDev,1
E00288,2,389,28,3,AppDev,1
E00288,3,413,29,3,AppDev,1
E00288,16,420,30,3,AppDev,1
E00288,2,427,31,3,AppDev,1
E00288,1,431,32,3,AppDev,1
E00288,13,433,33,3,AppDev,1
E00288,1,462,34,2,AppDev,1
E00288,1,463,35,2,AppDev,1
E00288,1,480,36,2,AppDev,1
E00288,1,473,37,2,AppDev,1
E00288,3,535,38,3,AppDev,1
E00288,1,741,39,2,AppDev,1
E00288,17,752,40,3,AppDev,1
E00297,5,14,1,3,AppDev,1
E00297,6,18,2,3,AppDev,1
E00297,7,26,3,4,AppDev,1
E00297,7,28,4,4,AppDev,1
E00297,7,29,5,4,AppDev,1
E00297,3,32,6,3,AppDev,1
E00297,3,45,7,3,AppDev,1
E00297,10,47,8,4,AppDev,1
E00297,5,50,9,3,AppDev,1
E00297,3,76,10,3,AppDev,1
E00297,3,134,11,2,AppDev,1
E00297,1,143,12,2,AppDev,1
E00297,3,145,13,3,AppDev,1
E00297,4,156,14,3,AppDev,1
E00297,3,160,15,3,AppDev,1
E00297,1,169,16,2,AppDev,1
E00297,10,183,17,3,AppDev,1
E00297,10,192,18,3,AppDev,1
E00297,10,193,19,3,AppDev,1
E00297,10,196,20,3,AppDev,1
E00297,20,199,21,4,AppDev,1
E00297,10,221,22,3,AppDev,1
E00297,10,223,23,3,AppDev,1
E00297,10,224,24,3,AppDev,1
E00297,10,229,25,3,AppDev,1
E00297,10,232,26,3,AppDev,1
E00297,10,235,27,3,AppDev,1
E00297,10,238,28,3,AppDev,1
E00297,10,243,29,3,AppDev,1
E00297,10,245,30,3,AppDev,1
E00297,10,246,31,3,AppDev,1
E00297,3,247,32,3,AppDev,1
E00297,8,252,33,3,AppDev,1
E00297,3,253,34,3,AppDev,1
E00297,3,263,35,4,AppDev,1
E00297,3,264,36,3,AppDev,1
E00297,3,265,37,2,AppDev,1
E00297,3,266,38,4,AppDev,1
E00297,2,267,39,4,AppDev,1
E00297,3,269,40,4,AppDev,1
E00297,3,271,42,4,AppDev,1
E00297,1,272,43,3,AppDev,1
E00297,1,276,44,3,AppDev,1
E00297,2,277,45,3,AppDev,1
E00297,2,278,46,3,AppDev,1
E00297,1,280,47,2,AppDev,1
E00297,2,282,48,4,AppDev,1
E00297,2,290,49,3,AppDev,1
E00297,7,292,50,5,AppDev,1
E00297,2,298,51,4,AppDev,1
E00297,1,304,52,3,AppDev,1
E00297,1,309,53,1,AppDev,1
E00297,4,352,54,3,AppDev,1
E00297,3,356,55,3,AppDev,1
E00297,3,358,56,4,AppDev,1
E00297,2,359,57,2,AppDev,1
E00297,1,377,58,2,AppDev,1
E00297,12,378,59,3,AppDev,1
E00297,11,385,60,3,AppDev,1
E00297,3,408,61,2,AppDev,1
E00297,2,418,62,3,AppDev,1
E00297,3,419,63,3,AppDev,1
E00297,11,420,64,3,AppDev,1
E00297,,421,65,,AppDev,1
E00297,,422,66,,AppDev,1
E00297,,423,68,,AppDev,1
E00297,,424,69,,AppDev,1
E00297,,429,70,,AppDev,1
E00297,,431,71,,AppDev,1
E00297,,432,72,,AppDev,1
E00297,,433,73,,AppDev,1
E00297,,442,74,,AppDev,1
E00297,,444,75,,AppDev,1
E00297,,446,76,,AppDev,1
E00297,,447,77,,AppDev,1
E00297,,448,78,,AppDev,1
E00297,3,456,79,4,AppDev,1
E00297,3,462,80,5,AppDev,1
E00297,2,463,81,4,AppDev,1
E00297,7,464,82,4,AppDev,1
E00297,2,466,83,3,AppDev,1
E00297,2,473,84,4,AppDev,1
E00297,8,485,85,3,AppDev,1
E00297,2,486,86,3,AppDev,1
E00297,6,494,87,3,AppDev,1
E00297,2,496,88,2,AppDev,1
E00297,2,511,89,3,AppDev,1
E00297,1,518,90,3,AppDev,1
E00297,10,532,91,3,AppDev,1
E00297,3,535,92,4,AppDev,1
E00297,7,538,93,3,AppDev,1
E00297,3,541,94,3,AppDev,1
E00297,1,558,95,2,AppDev,1
E00297,7,571,96,4,AppDev,1
E00297,3,572,97,3,AppDev,1
E00297,6,581,98,3,AppDev,1
E00297,10,601,99,3,AppDev,1
E00297,10,608,100,3,AppDev,1
E00297,7,617,101,3,AppDev,1
E00297,7,680,102,3,AppDev,1
E00297,7,699,103,3,AppDev,1
E00297,7,702,104,4,AppDev,1
E00297,3,717,105,3,AppDev,1
E00297,3,724,106,2,AppDev,1
E00297,7,731,107,2,AppDev,1
E00297,3,746,108,3,AppDev,1
E00301,10,14,1,3,AppDev,1
E00301,1,15,2,2,AppDev,1
E00301,10,17,3,3,AppDev,1
E00301,5,18,4,3,AppDev,1
E00301,10,25,5,3,AppDev,1
E00301,5,26,6,3,AppDev,1
E00301,5,28,7,3,AppDev,1
E00301,18,29,8,3,AppDev,1
E00301,2,30,9,2,AppDev,1
E00301,2,33,10,2,AppDev,1
E00301,1,45,11,2,AppDev,1
E00301,3,46,12,2,AppDev,1
E00301,17,47,13,3,AppDev,1
E00301,2,49,14,2,AppDev,1
E00301,15,50,15,3,AppDev,1
E00301,6,56,16,3,AppDev,1
E00301,10,103,17,3,AppDev,1
E00301,2,124,18,2,AppDev,1
E00301,4,127,19,3,AppDev,1
E00301,1,134,20,2,AppDev,1
E00301,1,135,21,2,AppDev,1
E00301,1,143,22,1,AppDev,1
E00301,2,145,23,3,AppDev,1
E00301,15,146,24,3,AppDev,1
E00301,25,151,25,3,AppDev,1
E00301,10,156,26,3,AppDev,1
E00301,2,169,27,2,AppDev,1
E00301,2,184,28,3,AppDev,1
E00301,4,189,29,3,AppDev,1
E00301,5,193,30,3,AppDev,1
E00301,1,253,31,2,AppDev,1
E00301,2,254,32,2,AppDev,1
E00301,1,265,33,2,AppDev,1
E00301,2,270,34,2,AppDev,1
E00301,1,271,35,3,AppDev,1
E00301,3,371,36,2,AppDev,1
E00301,2,375,37,2,AppDev,1
E00301,3,376,38,2,AppDev,1
E00301,7,378,39,3,AppDev,1
E00301,4,420,40,2,AppDev,1
E00301,3,433,41,3,AppDev,1
E00301,21,446,42,3,AppDev,1
E00301,4,447,43,3,AppDev,1
E00301,1,480,44,1,AppDev,1
E00301,1,471,45,2,AppDev,1
E00301,7,472,46,2,AppDev,1
E00301,2,475,47,2,AppDev,1
E00301,0.5,487,48,2,AppDev,1
E00301,1,494,49,3,AppDev,1
E00301,1,496,50,2,AppDev,1
E00301,5,532,51,3,AppDev,1
E00301,2.5,535,52,3,AppDev,1
E00301,10,538,53,3,AppDev,1
E00301,1,571,54,1,AppDev,1
E00301,8,572,55,2,AppDev,1
E00301,2,581,56,2,AppDev,1
E00301,2,659,57,2,AppDev,1
E00301,1,707,58,2,AppDev,1
E00304,11,14,1,4,AppDev,1
E00304,2,15,2,2,AppDev,1
E00304,13,17,3,3,AppDev,1
E00304,2,18,4,2,AppDev,1
E00304,2,23,5,3,AppDev,1
E00304,2,25,6,2,AppDev,1
E00304,2,26,7,3,AppDev,1
E00304,2,28,8,3,AppDev,1
E00304,13,29,9,3,AppDev,1
E00304,11,30,10,4,AppDev,1
E00304,9,45,11,3,AppDev,1
E00304,12,47,12,4,AppDev,1
E00304,4,50,13,3,AppDev,1
E00304,3,56,14,3,AppDev,1
E00304,2,96,15,4,AppDev,1
E00304,12,101,16,4,AppDev,1
E00304,3,127,17,3,AppDev,1
E00304,1,130,18,2,AppDev,1
E00304,8,135,19,3,AppDev,1
E00304,1,143,20,2,AppDev,1
E00304,3,151,21,3,AppDev,1
E00304,1,156,22,2,AppDev,1
E00304,1,169,23,2,AppDev,1
E00304,1,181,24,2,AppDev,1
E00304,9,183,25,4,AppDev,1
E00304,1,265,26,3,AppDev,1
E00304,1,267,27,1,AppDev,1
E00304,1,269,28,3,AppDev,1
E00304,1,270,29,2,AppDev,1
E00304,1,271,30,1,AppDev,1
E00304,1,274,31,1,AppDev,1
E00304,1,282,32,1,AppDev,1
E00304,1,352,33,3,AppDev,1
E00304,5,376,34,2,AppDev,1
E00304,19,378,35,3,AppDev,1
E00304,5,379,36,3,AppDev,1
E00304,19,390,37,3,AppDev,1
E00304,19,420,38,3,AppDev,1
E00304,6,433,39,2,AppDev,1
E00304,1,435,40,4,AppDev,1
E00304,11,442,41,3,AppDev,1
E00304,34,446,42,4,AppDev,1
E00304,5,455,43,4,AppDev,1
E00304,2,456,44,3,AppDev,1
E00304,9,460,45,4,AppDev,1
E00304,2,462,46,3,AppDev,1
E00304,2,463,47,3,AppDev,1
E00304,3,466,48,3,AppDev,1
E00304,2,476,49,3,AppDev,1
E00304,1,477,50,1,AppDev,1
E00304,3,483,51,4,AppDev,1
E00304,11,471,52,4,AppDev,1
E00304,5,472,53,4,AppDev,1
E00304,9,475,54,4,AppDev,1
E00304,1,486,55,2,AppDev,1
E00304,1,491,56,1,AppDev,1
E00304,3,494,57,2,AppDev,1
E00304,1,495,58,4,AppDev,1
E00304,7,496,59,4,AppDev,1
E00304,2,497,60,4,AppDev,1
E00304,2,500,61,3,AppDev,1
E00304,2,501,62,2,AppDev,1
E00304,2,504,63,3,AppDev,1
E00304,6,532,64,3,AppDev,1
E00304,3,535,65,3,AppDev,1
E00304,10,538,66,4,AppDev,1
E00304,1,693,67,2,AppDev,1
E00304,1,705,68,2,AppDev,1
E00306,0.5,4,1,1,AppDev,1
E00306,0.5,9,2,1,AppDev,1
E00306,5,14,3,3,AppDev,1
E00306,5,15,4,3,AppDev,1
E00306,10,17,5,3,AppDev,1
E00306,10,18,6,3,AppDev,1
E00306,5,26,7,3,AppDev,1
E00306,5,28,8,3,AppDev,1
E00306,10,30,9,2,AppDev,1
E00306,15,46,10,3,AppDev,1
E00306,15,47,11,3,AppDev,1
E00306,15,50,12,3,AppDev,1
E00306,15,56,13,3,AppDev,1
E00306,3,124,14,2,AppDev,1
E00306,3,159,15,2,AppDev,1
E00306,5,254,16,3,AppDev,1
E00306,5,265,17,2,AppDev,1
E00306,1,268,18,2,AppDev,1
E00306,5,371,19,2,AppDev,1
E00306,3,372,20,2,AppDev,1
E00306,3,376,21,2,AppDev,1
E00306,15,378,22,3,AppDev,1
E00306,10,425,23,3,AppDev,1
E00306,20,433,24,3,AppDev,1
E00306,10,442,25,3,AppDev,1
E00306,30,446,26,3,AppDev,1
E00306,25,447,27,3,AppDev,1
E00306,1,483,28,2,AppDev,1
E00306,1,471,29,2,AppDev,1
E00306,5,538,30,3,AppDev,1
E00307,5,15,1,3,AppDev,1
E00307,15,17,2,3,AppDev,1
E00307,5,18,3,3,AppDev,1
E00307,8,26,4,3,AppDev,1
E00307,4,28,5,3,AppDev,1
E00307,12,29,6,3,AppDev,1
E00307,10,30,7,4,AppDev,1
E00307,3,37,8,3,AppDev,1
E00307,3,45,9,2,AppDev,1
E00307,18,47,10,4,AppDev,1
E00307,20,50,11,3,AppDev,1
E00307,8,56,12,3,AppDev,1
E00307,5,124,13,3,AppDev,1
E00307,3,134,14,3,AppDev,1
E00307,4,142,16,3,AppDev,1
E00307,5,145,17,3,AppDev,1
E00307,15,146,18,3,AppDev,1
E00307,20,151,19,3,AppDev,1
E00307,7,156,20,3,AppDev,1
E00307,1,159,21,1,AppDev,1
E00307,1,165,22,1,AppDev,1
E00307,4,169,23,3,AppDev,1
E00307,2,174,24,2,AppDev,1
E00307,4,189,25,3,AppDev,1
E00307,20,192,26,3,AppDev,1
E00307,1,257,27,1,AppDev,1
E00307,1,262,28,1,AppDev,1
E00307,4,263,29,4,AppDev,1
E00307,2,264,30,2,AppDev,1
E00307,2,269,31,3,AppDev,1
E00307,3,271,32,3,AppDev,1
E00307,2,358,33,3,AppDev,1
E00307,2,375,34,2,AppDev,1
E00307,2,376,35,2,AppDev,1
E00307,1,377,36,1,AppDev,1
E00307,18,378,37,3,AppDev,1
E00307,1,543,38,2,AppDev,1
E00308,15,14,1,3,AppDev,1
E00308,2,16,2,1,AppDev,1
E00308,7,17,3,3,AppDev,1
E00308,4,18,4,3,AppDev,1
E00308,5,22,5,3,AppDev,1
E00308,3,25,6,2,AppDev,1
E00308,5,26,7,3,AppDev,1
E00308,9,28,8,3,AppDev,1
E00308,14,29,9,3,AppDev,1
E00308,5,30,10,2,AppDev,1
E00308,15,47,11,3,AppDev,1
E00308,4,49,12,2,AppDev,1
E00308,16,50,13,3,AppDev,1
E00308,5,56,14,3,AppDev,1
E00308,10,124,15,3,AppDev,1
E00308,5,127,16,3,AppDev,1
E00308,3,134,17,3,AppDev,1
E00308,2,143,18,3,AppDev,1
E00308,4,145,19,3,AppDev,1
E00308,17,146,20,3,AppDev,1
E00308,3,150,21,3,AppDev,1
E00308,22,151,22,3,AppDev,1
E00308,2,155,23,3,AppDev,1
E00308,4,156,24,3,AppDev,1
E00308,4,159,25,3,AppDev,1
E00308,3,165,26,3,AppDev,1
E00308,4,166,27,3,AppDev,1
E00308,3,167,28,3,AppDev,1
E00308,2,169,29,3,AppDev,1
E00308,3,172,30,2,AppDev,1
E00308,6,189,31,3,AppDev,1
E00308,25,193,32,3,AppDev,1
E00308,20,194,33,3,AppDev,1
E00308,15,196,34,3,AppDev,1
E00308,3,249,35,3,AppDev,1
E00308,6,253,36,3,AppDev,1
E00308,10,254,37,3,AppDev,1
E00308,1,257,38,1,AppDev,1
E00308,1,260,39,1,AppDev,1
E00308,2,264,40,3,AppDev,1
E00308,2,265,41,3,AppDev,1
E00308,2,269,42,3,AppDev,1
E00308,1,270,43,1,AppDev,1
E00308,2,271,44,3,AppDev,1
E00308,1,277,45,1,AppDev,1
E00308,2,282,46,3,AppDev,1
E00308,2,313,47,4,AppDev,1
E00308,1,314,48,4,AppDev,1
E00308,2,316,49,3,AppDev,1
E00308,2,317,50,3,AppDev,1
E00308,1,319,51,4,AppDev,1
E00308,3,320,52,4,AppDev,1
E00308,3,321,53,4,AppDev,1
E00308,4,322,54,3,AppDev,1
E00308,4,326,55,4,AppDev,1
E00308,2,327,56,4,AppDev,1
E00308,16,337,57,4,AppDev,1
E00308,10,338,58,4,AppDev,1
E00308,14,339,59,4,AppDev,1
E00308,15,340,60,4,AppDev,1
E00308,15,341,61,4,AppDev,1
E00308,10,342,62,4,AppDev,1
E00308,4,343,63,4,AppDev,1
E00308,17,344,64,4,AppDev,1
E00308,14,345,65,4,AppDev,1
E00308,3,332,66,3,AppDev,1
E00308,2,333,67,3,AppDev,1
E00308,3,334,68,3,AppDev,1
E00308,2,335,69,3,AppDev,1
E00308,4,336,70,3,AppDev,1
E00308,5,352,71,2,AppDev,1
E00308,2,362,72,2,AppDev,1
E00308,16,364,73,3,AppDev,1
E00308,5,367,74,1,AppDev,1
E00308,2,375,75,1,AppDev,1
E00308,19,378,76,3,AppDev,1
E00308,6,380,77,3,AppDev,1
E00308,5,406,78,3,AppDev,1
E00308,5,407,79,3,AppDev,1
E00308,5,408,80,3,AppDev,1
E00308,2,409,81,2,AppDev,1
E00308,1,410,82,2,AppDev,1
E00308,17,412,83,3,AppDev,1
E00308,19,413,84,3,AppDev,1
E00308,1,414,85,1,AppDev,1
E00308,22,420,86,3,AppDev,1
E00308,12,421,87,3,AppDev,1
E00308,32,422,88,3,AppDev,1
E00308,8,423,89,3,AppDev,1
E00308,7,424,90,2,AppDev,1
E00308,14,425,91,3,AppDev,1
E00308,14,431,92,3,AppDev,1
E00308,13,432,93,3,AppDev,1
E00308,32,433,94,3,AppDev,1
E00308,12,442,95,3,AppDev,1
E00308,21,446,96,3,AppDev,1
E00308,9,447,97,2,AppDev,1
E00308,2,455,98,3,AppDev,1
E00308,3,457,99,2,AppDev,1
E00308,6,460,100,2,AppDev,1
E00308,2,462,101,3,AppDev,1
E00308,1,479,102,2,AppDev,1
E00308,3,471,103,3,AppDev,1
E00308,3,491,104,3,AppDev,1
E00308,2,495,105,2,AppDev,1
E00308,10,496,106,3,AppDev,1
E00308,12,496,107,3,AppDev,1
E00308,2,511,108,3,AppDev,1
E00308,2,527,109,4,AppDev,1
E00308,2,535,110,2,AppDev,1
E00308,3,535,111,3,AppDev,1
E00308,8,538,112,3,AppDev,1
E00308,10,538,113,3,AppDev,1
E00308,3,542,114,2,AppDev,1
E00308,2,544,115,3,AppDev,1
E00308,2,545,116,3,AppDev,1
E00308,2,555,117,2,AppDev,1
E00308,7,581,118,3,AppDev,1
E00308,2,590,119,3,AppDev,1
E00308,24,603,120,3,AppDev,1
E00308,5,614,121,2,AppDev,1
E00308,4,662,122,2,AppDev,1
E00308,5,707,123,3,AppDev,1
E00308,8,717,124,3,AppDev,1
E00308,23,724,125,3,AppDev,1
E00308,42,732,126,3,AppDev,1
E00308,6,733,127,3,AppDev,1
E00308,12,736,128,3,AppDev,1
E00308,3,737,129,3,AppDev,1
E00308,4,741,130,3,AppDev,1
E00308,14,751,131,3,AppDev,1
E00308,14,752,132,3,AppDev,1
E00310,15,14,1,2,AppDev,1
E00310,1,16,2,1,AppDev,1
E00310,13,30,3,2,AppDev,1
E00310,17,47,4,2,AppDev,1
E00310,1.5,139,5,2,AppDev,1
E00310,4,185,6,2,AppDev,1
E00310,1,238,7,2,AppDev,1
E00310,12,240,8,3,AppDev,1
E00310,12,245,9,3,AppDev,1
E00310,12,253,10,3,AppDev,1
E00310,1,263,11,2,AppDev,1
E00310,1,265,12,2,AppDev,1
E00310,1,268,13,2,AppDev,1
E00310,1,345,14,2,AppDev,1
E00310,1,352,15,2,AppDev,1
E00310,2,376,16,2,AppDev,1
E00310,16,378,17,3,AppDev,1
E00310,10,391,18,2,AppDev,1
E00310,1,408,19,2,AppDev,1
E00310,16,420,20,3,AppDev,1
E00310,13,423,21,3,AppDev,1
E00310,9,427,22,3,AppDev,1
E00310,9,428,23,3,AppDev,1
E00310,5,429,24,3,AppDev,1
E00310,1,431,25,2,AppDev,1
E00310,1,432,26,3,AppDev,1
E00310,23,433,27,3,AppDev,1
E00310,11,440,28,3,AppDev,1
E00310,1,444,29,3,AppDev,1
E00310,23,448,30,3,AppDev,1
E00310,0.2,451,31,2,AppDev,1
E00310,4,454,32,3,AppDev,1
E00310,6,483,33,2,AppDev,1
E00310,1,531,34,2,AppDev,1
E00310,1,535,35,2,AppDev,1
E00310,13,538,36,2,AppDev,1
E00310,3,546,37,2,AppDev,1
E00310,13,572,38,3,AppDev,1
E00310,13,581,39,3,AppDev,1
E00310,23,584,40,3,AppDev,1
E00310,0.1,591,41,1,AppDev,1
E00310,0.5,614,42,2,AppDev,1
E00310,0.5,680,43,2,AppDev,1
E00310,0.5,744,44,2,AppDev,1
E00311,15,14,1,3,AppDev,1
E00311,14,17,2,3,AppDev,1
E00311,5,18,3,3,AppDev,1
E00311,5,26,4,3,AppDev,1
E00311,3,28,5,3,AppDev,1
E00311,5,29,6,3,AppDev,1
E00311,1,30,7,1,AppDev,1
E00311,5,45,8,3,AppDev,1
E00311,10,47,9,3,AppDev,1
E00311,5,56,10,3,AppDev,1
E00311,0,176,11,1,AppDev,1
E00311,0,184,12,1,AppDev,1
E00311,1,249,13,2,AppDev,1
E00311,0,250,14,1,AppDev,1
E00311,10,253,15,3,AppDev,1
E00311,10,254,16,3,AppDev,1
E00311,1,265,17,2,AppDev,1
E00311,1,268,18,2,AppDev,1
E00311,1,352,19,3,AppDev,1
E00311,1,358,20,2,AppDev,1
E00311,17,378,21,3,AppDev,1
E00311,17,420,22,3,AppDev,1
E00311,5,423,23,3,AppDev,1
E00311,5,442,24,3,AppDev,1
E00311,29,446,25,3,AppDev,1
E00311,10,447,26,3,AppDev,1
E00311,14,532,27,3,AppDev,1
E00311,3,535,28,3,AppDev,1
E00311,12,538,29,3,AppDev,1
E00321,1,14,1,2,AppDev,1
E00321,0.3,15,2,1,AppDev,1
E00321,4,17,3,3,AppDev,1
E00321,4,18,4,3,AppDev,1
E00321,6,26,5,3,AppDev,1
E00321,4,28,6,3,AppDev,1
E00321,14,29,7,3,AppDev,1
E00321,3,45,8,3,AppDev,1
E00321,14,47,9,3,AppDev,1
