PersonnelNumber,YearsExperience,Skill Id,Skill Level
E00308,8,717,3
E00308,23,724,3
E00308,42,732,3
E00308,6,733,3
E00308,12,736,3
E00308,3,737,3
E00308,4,741,3
E00308,14,751,3
E00308,14,752,3
E00310,15,14,2
E00310,1,16,1
E00310,13,30,2
E00310,17,47,2
E00310,1.5,139,2
E00310,4,185,2
E00310,1,238,2
E00310,12,240,3
E00310,12,245,3
E00310,12,253,3
E00310,1,263,2
E00310,1,265,2
E00310,1,268,2
E00310,1,345,2
E00310,1,352,2
E00310,2,376,2
E00310,16,378,3
E00310,10,391,2
E00310,1,408,2
E00310,16,420,3
E00310,13,423,3
E00310,9,427,3
E00310,9,428,3
E00310,5,429,3
E00310,1,431,2
E00310,1,432,3
E00310,23,433,3
E00310,11,440,3
E00310,1,444,3
E00310,23,448,3
E00310,0.2,451,2
E00310,4,454,3
E00310,6,483,2
E00310,1,531,2
E00310,1,535,2
E00310,13,538,2
E00310,3,546,2
E00310,13,572,3
E00310,13,581,3
E00310,23,584,3
E00310,0.1,591,1
E00310,0.5,614,2
E00310,0.5,680,2
E00310,0.5,744,2
E00311,15,14,3
E00311,14,17,3
E00311,5,18,3
E00311,5,26,3
E00311,3,28,3
E00311,5,29,3
E00311,1,30,1
E00311,5,45,3
E00311,10,47,3
E00311,5,56,3
E00311,0,176,1
E00311,0,184,1
E00311,1,249,2
E00311,0,250,1
E00311,10,253,3
E00311,10,254,3
E00311,1,265,2
E00311,1,268,2
E00311,1,352,3
E00311,1,358,2
E00311,17,378,3
E00311,17,420,3
E00311,5,423,3
E00311,5,442,3
E00311,29,446,3
E00311,10,447,3
E00311,14,532,3
E00311,3,535,3
E00311,12,538,3
E00321,1,14,2
E00321,0.3,15,1
E00321,4,17,3
E00321,4,18,3
E00321,6,26,3
E00321,4,28,3
E00321,14,29,3
E00321,3,45,3
E00321,14,47,3
E00321,8,50,3
E00321,1,56,2
E00321,0,98,1
E00321,0.5,134,2
E00321,1,142,2
E00321,1,143,3
E00321,3,145,3
E00321,9,146,3
E00321,12,151,3
E00321,12,154,3
E00321,8,156,3
E00321,1,169,2
E00321,7,183,3
E00321,1,184,3
E00321,0.2,249,1
E00321,1,254,1
E00321,1,304,1
E00321,14,337,4
E00321,9,338,4
E00321,14,339,4
E00321,2,340,3
E00321,1,343,3
E00321,11,344,4
E00321,8,345,3
E00321,7,378,3
E00321,8,447,3
E00321,1,472,2
E00321,0.3,569,2
E00321,1,572,2
E00321,0.3,657,1
E00321,1,672,2
E00321,0.3,680,1
E00321,0.1,696,1
E00321,0.1,751,1
E00323,2,15,2
E00323,10,17,3
E00323,2,18,2
E00323,4,25,3
E00323,4,28,3
E00323,6,30,2
E00323,5,45,3
E00323,10,47,3
E00323,6,50,3
E00323,4,56,3
E00323,10,70,4
E00323,3,130,3
E00323,2,143,3
E00323,3,145,2
E00323,10,146,2
E00323,10,151,3
E00323,4,156,3
E00323,3,159,3
E00323,3,169,3
E00323,6,183,3
E00323,3,189,2
E00323,12,253,4
E00323,12,254,4
E00323,2,263,3
E00323,2,264,3
E00323,2,265,3
E00323,2,269,3
E00323,2,271,2
E00323,2,352,3
E00323,10,378,3
E00323,2,380,2
E00323,5,413,3
E00323,15,420,3
E00323,10,423,3
E00323,5,425,3
E00323,4,431,2
E00323,6,432,2
E00323,8,433,3
E00323,5,447,4
E00323,1,478,2
E00323,1,479,2
E00323,3,483,3
E00323,8,471,4
E00323,5,472,4
E00323,10,475,4
E00323,3,488,4
E00323,0.5,493,3
E00323,1,495,3
E00323,1,496,3
E00323,2,497,3
E00323,2,525,4
E00323,8,530,3
E00323,8,532,3
E00323,5,535,4
E00323,2,537,3
E00323,10,538,3
E00323,1,541,2
E00323,2,542,3
E00323,8,571,3
E00323,4,572,3
E00323,3,581,3
E00323,2,589,3
E00325,2,14,3
E00325,0,15,1
E00325,3,17,3
E00325,0.5,18,3
E00325,1,21,2
E00325,0.5,22,2
E00325,8,25,3
E00325,3,26,3
E00325,1,28,2
E00325,14,29,3
E00325,0.3,42,3
E00325,5,46,3
E00325,14,47,3
E00325,0.1,48,1
E00325,2,49,2
E00325,5,50,3
E00325,1,56,2
E00325,0,59,1
E00325,2,125,2
E00325,5,127,2
E00325,0.1,134,2
E00325,0.5,145,2
E00325,5,146,3
E00325,20,151,3
E00325,5,156,3
E00325,0.3,159,2
E00325,1,189,2
E00325,0.5,263,1
E00325,0.1,264,1
E00325,0.5,269,1
E00325,0.1,270,1
E00325,0.5,271,1
E00325,0.3,272,1
E00325,0.3,301,1
E00325,0.3,303,1
E00325,0.3,304,1
E00325,1.5,337,2
E00325,0.5,338,3
E00325,8,339,3
E00325,2,340,2
E00325,2,341,2
E00325,1,342,3
E00325,2,343,2
E00325,1.5,344,2
E00325,8,345,3
E00325,0.1,332,1
E00325,0.1,352,1
E00325,0.4,356,1
E00325,0.2,358,2
E00325,0.1,370,1
E00325,0.1,374,1
E00325,1,375,2
E00325,0.2,376,2
E00325,2,378,2
E00325,1,380,2
E00325,10,388,2
E00325,10,390,3
E00325,0.1,419,1
E00325,12,420,3
E00325,11,421,3
E00325,1,422,3
E00325,16,423,3
E00325,0.1,427,2
E00325,2,431,3
E00325,0.1,432,2
E00325,12,433,3
E00325,11,442,3
E00325,2,444,2
E00325,4,446,3
E00325,5,447,3
E00325,2,476,2
E00325,0.1,480,1
E00325,0.1,481,1
E00325,0.1,495,1
E00325,2,535,3
E00325,0.5,536,3
E00325,3,537,3
E00325,5,538,3
E00325,4,572,3
E00325,3,584,3
E00325,0.1,707,1
E00327,,0,
E00328,,0,
E00329,5,14,3
E00329,5,15,3
E00329,10,17,3
E00329,3,18,3
E00329,1,23,3
E00329,1,26,1
E00329,1,27,3
E00329,1,28,3
E00329,5,29,3
E00329,6,30,3
E00329,10,45,3
E00329,10,47,3
E00329,5,56,3
E00329,8,126,3
E00329,1,130,3
E00329,0,142,1
E00329,5,151,3
E00329,20,192,3
E00329,20,193,3
E00329,2,253,3
E00329,5,254,3
E00329,1,263,1
E00329,1,270,2
E00329,1,271,1
E00329,0.5,274,1
E00329,0.5,275,2
E00329,1,339,2
E00329,0.5,352,2
E00329,0.5,358,2
E00329,10,378,2
E00329,5,425,3
E00329,1,427,2
E00329,1,431,2
E00329,10,433,3
E00329,1,442,2
E00329,25,446,3
E00329,10,447,3
E00329,1,462,2
E00329,2,475,2
E00329,2,535,3
E00329,10,538,3
E00329,1,545,2
E00329,3,572,2
E00330,25,14,3
E00330,1,15,2
E00330,25,17,3
E00330,1,18,2
E00330,5,22,3
E00330,1,23,3
E00330,6,26,3
E00330,4,28,3
E00330,15,29,3
E00330,6,30,3
E00330,4,45,3
E00330,9,46,2
E00330,12,47,3
E00330,5,50,3
E00330,16,56,3
E00330,5,124,3
E00330,15,183,3
E00330,1,184,3
E00330,2,263,2
E00330,1,269,2
E00330,15,337,3
E00330,15,339,4
E00330,4,332,4
E00330,2,334,4
E00330,22,378,3
E00330,25,388,3
E00330,10,413,3
E00330,22,420,3
E00330,2,429,3
E00330,9,433,3
E00330,22,442,3
E00330,29,446,4
E00330,2,455,3
E00330,1,462,2
E00330,1,463,2
E00330,1,483,2
E00330,1,495,3
E00330,15,532,3
E00330,2,535,3
E00330,5,538,3
E00330,1,545,3
E00330,2,707,1
E00331,6,18,3
E00331,1,21,3
E00331,2,23,3
E00331,7,26,3
E00331,12,47,4
E00331,15,56,3
E00331,5,138,3
E00331,5,139,3
E00331,1,165,1
E00331,1,184,3
E00331,13,185,5
E00331,31,192,3
E00331,31,194,4
E00331,41,238,3
E00331,10,252,3
E00331,3,253,4
E00331,10,254,3
E00331,1,264,2
E00331,1,265,3
E00331,1,270,3
E00331,1,272,3
E00331,1,273,1
E00331,1,304,2
E00331,5,337,2
E00331,2,338,3
E00331,20,376,3
E00331,26,378,3
E00331,12,379,4
E00331,1,393,2
E00331,26,420,3
E00331,2,424,3
E00331,20,431,3
E00331,40,433,3
E00331,32,442,4
E00331,40,448,4
E00331,2,455,4
E00331,4,483,4
E00331,5,471,4
E00331,12,475,3
E00331,8,496,4
E00331,13,505,5
E00331,14,538,4
E00331,6,546,5
E00331,6,547,5
E00331,15,549,5
E00331,15,550,5
E00331,15,551,5
E00331,7,572,3
E00331,42,584,3
E00331,11,614,2
E00331,12,685,3
E00331,42,687,4
E00331,30,689,3
E00331,12,728,3
E00332,,0,
E00334,10,14,3
E00334,5,15,3
E00334,1,16,1
E00334,10,17,3
E00334,4,18,3
E00334,4,26,3
E00334,15,29,3
E00334,12,30,3
E00334,20,46,3
E00334,15,47,3
E00334,6,50,3
E00334,15,56,3
E00334,4,143,3
E00334,18,151,3
E00334,1,180,2
E00334,25,192,3
E00334,25,193,3
E00334,1,272,2
E00334,20,421,3
E00334,25,431,3
E00334,25,446,3
E00334,5,447,3
E00334,2,455,2
E00335,22,191,3
E00335,4,192,2
E00335,26,193,3
E00335,4,195,3
E00335,20,196,3
E00335,9,199,3
E00335,20,220,3
E00335,15,221,3
E00335,26,225,3
E00335,20,229,3
E00335,11,231,3
E00335,20,233,3
E00335,20,235,3
E00335,20,236,3
E00335,20,240,3
E00335,15,243,3
E00335,6,245,3
E00335,15,246,3
E00335,4,249,3
E00335,15,252,3
E00335,4,253,3
E00335,4,254,3
E00335,4,378,2
E00335,11,382,3
E00335,1,384,2
E00335,6,385,2
E00335,3,386,2
E00335,2,389,2
E00335,3,406,3
E00335,20,444,3
E00335,20,448,3
E00335,5,451,3
E00335,0.1,580,1
E00335,5,581,3
E00335,26,584,3
E00335,20,586,3
E00335,20,600,3
E00335,20,607,3
E00335,5,622,3
E00335,5,623,3
E00339,10,17,3
E00339,6,47,3
E00339,3,49,2
E00339,20,190,4
E00339,20,191,4
E00339,20,192,4
E00339,20,193,4
E00339,20,194,4
E00339,2,352,2
E00339,1,360,1
E00339,2,361,2
E00339,2,362,2
E00339,1,365,2
E00339,1,366,2
E00339,2,367,3
E00339,2,368,3
E00339,1,373,1
E00339,5,375,3
E00339,20,378,4
E00339,5,379,4
E00339,10,380,4
E00339,10,382,4
E00339,20,383,4
E00339,20,385,4
E00339,10,386,3
E00339,10,387,3
E00339,20,388,4
E00339,20,389,4
E00339,20,390,4
E00339,10,391,3
E00339,3,405,3
E00339,5,406,3
E00339,1,408,2
E00339,10,412,3
E00339,10,413,4
E00339,20,420,4
E00339,5,425,3
E00339,5,427,3
E00339,5,429,3
E00339,5,431,3
E00339,5,432,3
E00339,10,433,3
E00339,5,442,2
E00339,10,444,3
E00339,20,446,3
E00339,10,447,3
E00339,10,448,3
E00339,3,572,2
E00339,10,578,3
E00339,10,619,3
E00339,10,620,3
E00339,20,623,4
E00341,,0,
E00342,2,6,3
E00342,2,15,3
E00342,6,17,3
E00342,1,18,2
E00342,3,26,3
E00342,2,28,3
E00342,2,30,3
E00342,11,47,3
E00342,4,49,3
E00342,3,52,3
E00342,2,56,3
E00342,0.5,57,3
E00342,2,124,3
E00342,0,131,2
E00342,1,143,2
E00342,2,146,2
E00342,1,249,2
E00342,2,253,3
E00342,8,254,3
E00342,1,374,2
E00342,5,378,2
E00342,8,420,3
E00342,11,423,3
E00342,3,427,2
E00342,6,429,3
E00342,4,433,3
E00342,10,446,3
E00342,2,454,3
E00342,1,471,2
E00342,1,472,2
E00342,6,532,3
E00342,3,535,3
E00342,2,537,3
E00342,5,538,3
E00342,5,572,2
E00343,4,710,4
E00343,5,713,4
E00343,8,714,4
E00343,12,715,4
E00343,8,717,4
E00343,25,748,4
E00344,4,193,2
E00344,2,196,3
E00344,10,218,4
E00344,1,228,2
E00344,2,235,3
E00344,1,238,2
E00344,1,247,1
E00344,2,252,2
E00344,5,253,3
E00344,5,254,3
E00344,4,431,3
E00344,2,433,3
E00344,4,444,3
E00344,8,450,3
E00344,4,452,3
E00344,1,571,2
E00344,4,572,2
E00344,4,576,3
E00344,6,577,3
E00344,10,585,3
E00344,6,587,3
E00344,8,600,3
E00344,6,601,3
E00344,8,603,3
E00344,8,604,3
E00344,8,607,3
E00344,5,608,2
E00344,6,609,3
E00344,2,611,2
E00344,1,614,1
E00344,1,620,2
E00344,3,621,3
E00344,6,625,3
E00344,4,656,3
E00344,1,659,1
E00344,2,662,3
E00344,2,672,2
E00344,1,719,2
E00344,1,724,2
E00344,2,729,2
E00344,2,751,2
E00345,0,2,1
E00345,0.5,4,2
E00345,4,17,3
E00345,2,18,3
E00345,4,25,3
E00345,4.5,26,3
E00345,3,28,3
E00345,4,29,3
E00345,1.5,30,2
E00345,0.5,46,1
E00345,10,47,3
E00345,1,49,1
E00345,6,50,3
E00345,0.5,143,2
E00345,1,145,3
E00345,7,146,3
E00345,8,151,3
E00345,0.5,173,2
E00345,6,183,3
E00345,3,189,3
E00345,3,374,3
E00345,7,378,3
E00345,10,446,3
E00345,2,447,2
E00345,9,532,3
E00345,3,535,3
E00345,1,537,3
E00345,6,538,3
E00345,8,572,3
E00345,1,573,2
E00345,4,581,2
E00345,2,717,3
E00345,1,751,2
E00346,,0,
E00350,,0,
E00351,,0,
E00354,,0,
E00363,,0,
E00364,2,46,1
E00364,2,47,2
E00364,2,49,1
E00364,2,56,2
E00364,1,127,1
E00364,1,182,1
E00364,1,183,1
E00364,4,185,3
