Skill Id,Description,Skill Area Id
64,Application Development\Other\Blazor,1
65,Application Development\Other\Dapper,1
66,Application Development\Other\Dapper - framework for mapping an object-oriented domain model to a traditional relational database.,1
67,Application Development\Other\Data Access: Oracle/Dapper,1
68,Application Development\Other\Dev Express / Dev Extreme,1
69,Application Development\Other\DevExtreme js Framework,1
70,Application Development\Other\DevOps,1
71,Application Development\Other\Enterprise Integration - Legacy Platforms,1
72,Application Development\Other\EpiServer CMS,1
73,Application Development\Other\Erlang/Elixir (I'm just using it for automating tasks),1
74,Application Development\Other\Flash,1
75,Application Development\Other\Framework: MAQS,1
76,Application Development\Other\Frameworks: Express + Pug,1
77,Application Development\Other\Git,1
78,Application Development\Other\Google Analytics Implementation,1
79,Application Development\Other\I performed Sales Force training when I was at RJS,1
80,Application Development\Other\Ionic,1
81,Application Development\Other\Jasmine--Javascript Unit Testing,1
82,Application Development\Other\K2 for Sharepoint,1
83,Application Development\Other\Kafka message broker,1
84,Application Development\Other\KendoUI,1
85,Application Development\Other\Language: PHP,1
86,Application Development\Other\Language: R,1
87,Application Development\Other\Languages: Groovy,1
88,Application Development\Other\LESS (CSS tool),1
89,Application Development\Other\Less--css preprocessor,1
90,Application Development\Other\Linux,1
91,Application Development\Other\Marionette.js,1
92,Application Development\Other\Microservices,1
93,Application Development\Other\Microservices (Web API),1
94,Application Development\Other\Microsoft Bot Framework,1
95,Application Development\Other\Mongo--NoSql Database,1
96,Application Development\Other\Octopus Deploy,1
97,Application Development\Other\Okta,1
98,Application Development\Other\Pivotal Clound Foundry,1
99,Application Development\Other\Polymer -- Web Components,1
100,Application Development\Other\Power BI,1
101,Application Development\Other\PowerShell,1
102,Application Development\Other\Quality: JMeter Performance Testing,1
103,Application Development\Other\Quality: MSTest,1
104,Application Development\Other\Quality: Performance and Load Testing,1
105,Application Development\Other\Quality: QUnit,1
106,Application Development\Other\Server: .NET Core,1
107,Application Development\Other\Server: Node.js: Meteor,1
108,Application Development\Other\Server: Node.js: VulcanJS,1
109,Application Development\Other\Signal R,1
110,Application Development\Other\SignalR,1
111,Application Development\Other\SignalR (core),1
112,Application Development\Other\SiteCore CMS,1
113,Application Development\Other\SQL,1
114,Application Development\Other\Swagger - framework that helps developers design/ build/ document and consume RESTful Web.,1
115,Application Development\Other\Telerik MVC UI/ Kendo UI,1
116,Application Development\Other\Umbraco CMS,1
117,Application Development\Other\Used Borland Delphi and C++ Builder for client/server application development.,1
118,Application Development\Other\Visual Studio Unit Testing,1
119,Application Development\Other\Web Client: Backbone.js,1
120,Application Development\Other\Web Client: Material,1
121,Application Development\Other\WebAssembly,1
122,Application Development\Other\XML/XSLT,1
123,Application Development\Patterns\MVC,1
124,Application Development\Patterns\MVVM,1
125,Application Development\Quality\JUnit,1
126,Application Development\Quality\MsTest,1
127,Application Development\Quality\NUnit,1
128,Application Development\Quality\StyleCop,1
129,Application Development\Quality\TestNG,1
130,Application Development\Quality\XUnit,1
131,Application Development\Server\ESB,1
132,Application Development\Server\gRPC,1
133,Application Development\Server\IIS,1
134,Application Development\Server\Node.js,1
135,Application Development\Server\WebSphere,1
136,Application Development\Software Packages\Drupal,1
137,Application Development\Software Packages\Dynamics AX,1
138,Application Development\Software Packages\Dynamics GP,1
139,Application Development\Software Packages\MS CRM,1
140,Application Development\Software Packages\NetSuite,1
141,Application Development\Software Packages\SalesForce,1
142,Application Development\Web Client\Angular,1
143,Application Development\Web Client\Angular JS,1
144,Application Development\Web Client\Aurelia,1
145,Application Development\Web Client\Bootstrap,1
146,Application Development\Web Client\CSS,1
147,Application Development\Web Client\Ember,1
148,Application Development\Web Client\ExtJS,1
149,Application Development\Web Client\Grunt,1
150,Application Development\Web Client\Gulp,1
151,Application Development\Web Client\HTML,1
152,Application Development\Web Client\Jasmine,1
153,Application Development\Web Client\Java Servlet & JSP,1
154,Application Development\Web Client\JavaScript,1
155,Application Development\Web Client\Jest,1
156,Application Development\Web Client\jQuery,1
157,Application Development\Web Client\jQuery Mobile,1
158,Application Development\Web Client\Karma,1
159,Application Development\Web Client\Knockout.js,1
160,Application Development\Web Client\LESS,1
161,Application Development\Web Client\Material-UI,1
162,Application Development\Web Client\Mocha,1
163,Application Development\Web Client\PrimeNG,1
164,Application Development\Web Client\Protractor,1
165,Application Development\Web Client\React.js,1
166,Application Development\Web Client\Sass,1
167,Application Development\Web Client\SCSS,1
168,Application Development\Web Client\Selenium,1
169,Application Development\Web Client\TypeScript,1
170,Application Development\Web Client\VueJS,1
171,Application Development\Web Client\WebAssembly,1
172,Application Development\Web Client\Webpack,1
173,Application Development\zNOT IN USE\Client: Sencha Touch,1
174,Application Development\zNOT IN USE\Client: Silverlight,1
175,Application Development\zNOT IN USE\Client: Titanium,1
176,Application Development\zNOT IN USE\Client: Windows Phone,1
177,Application Development\zNOT IN USE\Client: Windows Phone Testing,1
178,Application Development\zNOT IN USE\Client: WinRT / C++,1
179,Application Development\zNOT IN USE\Client: WinRT / HTML,1
180,Application Development\zNOT IN USE\Client: WinRT / XAML,1
181,Application Development\zNOT IN USE\Frameworks: Caliburn,1
182,Application Development\zNOT IN USE\Frameworks: MARQ Automation,1
183,Application Development\zNOT IN USE\Quality: VS Unit,1
184,Application Development\zNOT IN USE\Server: ASP.NET Core,1
185,Application Development\zNOT IN USE\Server: BizTalk,1
186,Application Development\zNOT IN USE\Server: nServiceBus,1
187,Application Development\zNOT IN USE\Server: RabbitMQ,1
188,Application Development\zNOT IN USE\Web Client: CSS3,1
189,Application Development\zNOT IN USE\Web Client: HTML5,1
190,Business Analysis\Data\Business Intelligence (BI) Analysis,2
191,Business Analysis\Data\Data Analysis,2
192,Business Analysis\Data\Data Modeling,2
193,Business Analysis\Data\Database Queries,2
194,Business Analysis\Data\Information Modeling,2
195,Business Analysis\Methodology\Agile Business Analysis,2
196,Business Analysis\Methodology\Requirements Analysis,2
197,Business Analysis\Methodology\Risk Analysis,2
198,Business Analysis\Methodology\SAFe POPM,2
199,Business Analysis\Methodology\Sales Support,2
200,Business Analysis\Methodology\Scrum CSPO,2
201,Business Analysis\Methodology\User Experience (UX) Analysis,2
202,Business Analysis\Other\Assist junior Business Analysts as well as consultation and advice on complex assignments,2
203,Business Analysis\Other\Azure DevOps,2
204,Business Analysis\Other\Behavior  Driven Development (BDD),2
205,Business Analysis\Other\Behavior-driven development,2
206,Business Analysis\Other\Develop and deliver requirements documentation and presentations,2
207,Business Analysis\Other\Gherkin Domain Specific Lanuage,2
208,Business Analysis\Other\I have assisted in many backlog grooming workshops and regular grooming sessions with clients.,2
209,Business Analysis\Other\Liaison between the business units/ technology teams and support teams,2
210,Business Analysis\Other\Provides Recommendations and advice on emerging trends of IT,2
211,Business Analysis\Other\Tools: Agile Central: Task Management,2
212,Business Analysis\Other\Tools: Helix ALM,2
213,Business Analysis\Other\Tools: Integrity Manager,2
214,Business Analysis\Other\Tools: Jenkins,2
215,Business Analysis\Other\Tools: Microsoft Excel,2
216,Business Analysis\Other\Tools: TestLab,2
217,Business Analysis\Other\Tools: TestRail,2
218,Business Analysis\Support\Quality Assurance (QA) Support,2
219,Business Analysis\Support\User Acceptance Testing Support,2
220,Business Analysis\Technique\Business Analysis Planning,2
221,Business Analysis\Technique\Business Cases,2
222,Business Analysis\Technique\Change Management,2
223,Business Analysis\Technique\Enterprise Analysis,2
224,Business Analysis\Technique\Enterprise Strategy Planning,2
225,Business Analysis\Technique\Facilitation,2
226,Business Analysis\Technique\Journey Mapping,2
227,Business Analysis\Technique\Magenic Digital Consulting,2
228,Business Analysis\Technique\Mobile Business Analysis,2
229,Business Analysis\Technique\Personas,2
230,Business Analysis\Technique\Process Engineering (BPM/BPRM),2
231,Business Analysis\Technique\Product Management,2
232,Business Analysis\Technique\Prototyping,2
233,Business Analysis\Technique\Relationship Management,2
234,Business Analysis\Technique\Requirements Analysis,2
235,Business Analysis\Technique\Requirements Elicitation,2
236,Business Analysis\Technique\Requirements Management,2
237,Business Analysis\Technique\Risk Analysis,2
238,Business Analysis\Technique\Root Cause Analysis,2
239,Business Analysis\Technique\Sales Support,2
240,Business Analysis\Technique\Scope Management,2
241,Business Analysis\Technique\Solution Assessment/Validation,2
242,Business Analysis\Technique\Stakeholder Analysis,2
243,Business Analysis\Technique\Use Cases,2
244,Business Analysis\Technique\User Experience (UX) Analysis,2
245,Business Analysis\Technique\User Stories,2
246,Business Analysis\Technique\Wireframes and Mockups,2
247,Business Analysis\Tools\Balsamiq: Mockups and Wireframes,2
248,Business Analysis\Tools\GitHub: Issue Management,2
249,Business Analysis\Tools\JIRA: Task Management,2
250,Business Analysis\Tools\Rally: Backlog Item Management,2
251,Business Analysis\Tools\VersionOne: Backlog Item Management,2
252,Business Analysis\Tools\Visio: Visual Information Modeling,2
253,Business Analysis\Tools\VS Online: Work Item Management,2
254,Business Analysis\Tools\VS TFS: Work Item Management,2
255,Cloud Computing\AWS\App Server Dev,3
256,Cloud Computing\AWS\IaaS,3
257,Cloud Computing\AWS\Infrastructure,3
258,Cloud Computing\AWS\IoT Dev,3
259,Cloud Computing\AWS\Mobile Dev,3
260,Cloud Computing\AWS\PaaS,3
261,Cloud Computing\AWS\Service Fabric,3
262,Cloud Computing\AWS\Web Dev,3
263,Cloud Computing\Azure\App Server Dev,3
264,Cloud Computing\Azure\IaaS,3
265,Cloud Computing\Azure\Infrastructure,3
266,Cloud Computing\Azure\IoT Dev,3
267,Cloud Computing\Azure\Kubernetes,3
268,Cloud Computing\Azure\Mobile Dev,3
269,Cloud Computing\Azure\PaaS,3
270,Cloud Computing\Azure\Service Fabric,3
271,Cloud Computing\Azure\Web Dev,3
272,Cloud Computing\Cloud Foundry\App Dev,3
273,Cloud Computing\Cloud Foundry\DevOps,3
274,Cloud Computing\Docker\Linux containers,3
275,Cloud Computing\Docker\Windows containers,3
276,Cloud Computing\Google\App Server Dev,3
277,Cloud Computing\Google\IaaS,3
278,Cloud Computing\Google\Infrastructure,3
279,Cloud Computing\Google\Mobile Dev,3
280,Cloud Computing\Google\PaaS,3
281,Cloud Computing\Google\Web Dev,3
282,Cloud Computing\Kubernetes\App Dev,3
283,Cloud Computing\Other\AppHarbor (PaaS),3
284,Cloud Computing\Other\AWS Development,3
285,Cloud Computing\Other\Azure and Google Cloud Vision APIs,3
286,Cloud Computing\Other\Azure Cognitive Services,3
287,Cloud Computing\Other\Azure Logic Apps and Functions,3
288,Cloud Computing\Other\Azure Serverless,3
289,Cloud Computing\Other\Azure Service Bus,3
290,Cloud Computing\Other\Docker,3
291,Cloud Computing\Other\DOCKER / KUBERNETES,3
292,Cloud Computing\Other\Enterprise/Cloud Architecture,3
293,Cloud Computing\Other\Firebase: Web Dev,3
294,Cloud Computing\Other\General/ Topics/ Queues/ ARM Templates,3
295,Cloud Computing\Other\Heroku,3
296,Cloud Computing\Other\I can explain cloud at this time,3
297,Cloud Computing\Other\IBM Watson,3
298,Cloud Computing\Other\Kubernetes,3
299,Cloud Computing\Other\Logic Apps & Functions,3
300,Cloud Computing\Other\No Experience. Required to answer for profile.,3
301,Cloud Computing\zNOT IN USE\Cloud Foundry: IaaS,3
302,Cloud Computing\zNOT IN USE\Cloud Foundry: Kubernetes,3
303,Cloud Computing\zNOT IN USE\Cloud Foundry: PaaS,3
304,Cloud Computing\zNOT IN USE\Cloud Foundry: Web Dev,3
305,Cloud Computing\zNOT IN USE\Other: vmWare,3
306,Collaboration Platform\Other\Azure API Management/ Azure Developer Portal Customization,4
307,Collaboration Platform\Other\Have not had an opportunity to work on a collaboration platform.,4
308,Collaboration Platform\Other\I am a user of these kinds of tools.  I can make custom lists in SharePoint,4
309,Collaboration Platform\Other\I can use a CMS on alternate tuesdays,4
310,Collaboration Platform\Other\I was on a SharePoint project for Assured Guaranty,4
311,Collaboration Platform\Other\K2 Development for SharePoint,4
312,Collaboration Platform\Other\Lotus Notes to SharePoint Migrations,4
313,Collaboration Platform\Other\Microsoft 365 Administration,4
314,Collaboration Platform\Other\Microsoft 365 Security and Compliance Center - 2019 releases,4
315,Collaboration Platform\Other\Microsoft Team Foundation,4
316,Collaboration Platform\Other\MS Flow (workflow replacement),4
317,Collaboration Platform\Other\MS Graph integration,4
318,Collaboration Platform\Other\No Experience. Required to answer for profile.,4
319,Collaboration Platform\Other\Office 365\SharePoint DevOps via ADO,4
320,Collaboration Platform\Other\Power Apps,4
321,Collaboration Platform\Other\Power Automate (formerly MS Flow),4
322,Collaboration Platform\Other\PowerApps,4
323,Collaboration Platform\Other\SharePoint 2016: Administration,4
324,Collaboration Platform\Other\SharePoint 2016: App Development,4
325,Collaboration Platform\Other\SharePoint Framework (SPFx),4
326,Collaboration Platform\Other\SharePoint Framework Development - Creator of MMO's and MM Course in Magenic,4
327,Collaboration Platform\Other\Teams:  Office 365 Administration and Use,4
328,Collaboration Platform\Other\Used Nintex Workflow for SharePoint,4
329,Collaboration Platform\Other\Visual Studio Team Systems,4
330,Collaboration Platform\Other\VSTS,4
331,Collaboration Platform\Other\wiki and atlassian tools,4
332,Collaboration Platform\SharePoint 2010\.Net Workflow Development,4
333,Collaboration Platform\SharePoint 2010\Access Services Development,4
334,Collaboration Platform\SharePoint 2013\.Net Workflow Development,4
335,Collaboration Platform\SharePoint 2013\Access Services Development,4
336,Collaboration Platform\SharePoint 2013\App Development,4
337,Collaboration Platform\SharePoint\Administration,4
338,Collaboration Platform\SharePoint\Designer Workflow Development,4
339,Collaboration Platform\SharePoint\Development,4
340,Collaboration Platform\SharePoint\Farm Upgrade (full version),4
341,Collaboration Platform\SharePoint\Governance,4
342,Collaboration Platform\SharePoint\InfoPath/Forms Services Development,4
343,Collaboration Platform\SharePoint\Office 365 Development,4
344,Collaboration Platform\SharePoint\Site Development (with SharePoint CMS),4
345,Collaboration Platform\SharePoint\Solution Architecture,4
346,Data Platform\AWS\DynamoDB,5
347,Data Platform\AWS\Elastic Map Reduce (EMR),5
348,Data Platform\AWS\Kinesis Analytics,5
349,Data Platform\AWS\RDS,5
350,Data Platform\AWS\Redshift,5
351,Data Platform\AWS\Simple DB,5
352,Data Platform\Azure\Azure SQL,5
353,Data Platform\Azure\Data Factory,5
354,Data Platform\Azure\Data Lake Store and Analytics,5
355,Data Platform\Azure\Data Warehourse,5
356,Data Platform\Azure\Document DB,5
357,Data Platform\Azure\HD Insight,5
358,Data Platform\Azure\Storage,5
359,Data Platform\Azure\Stream Analytics,5
360,Data Platform\BI\Business Intelligence Markup Language (BIML),5
361,Data Platform\BI\DAX,5
362,Data Platform\BI\MDX,5
363,Data Platform\BI\R,5
364,Data Platform\BI\SharePoint BI Integration,5
365,Data Platform\BI\SQL Server Data Quality Service,5
366,Data Platform\BI\SQL Server Master Data Services,5
367,Data Platform\BI\SSAS: Multi-Dimensional,5
368,Data Platform\BI\SSAS: Tabular,5
369,Data Platform\Database\Column DB,5
370,Data Platform\Database\CosmosDB,5
371,Data Platform\Database\DB2,5
372,Data Platform\Database\Graph DB,5
373,Data Platform\Database\Hadoop,5
374,Data Platform\Database\Mongo DB and other No-SQL,5
375,Data Platform\Database\MySQL,5
376,Data Platform\Database\Oracle,5
377,Data Platform\Database\PostgreSQL,5
378,Data Platform\Database\SQL Server,5
379,Data Platform\Database\SSDT,5
380,Data Platform\Database\SSIS,5
381,Data Platform\Google\Cloud Datastore,5
382,Data Platform\Methodology\Data Migration,5
383,Data Platform\Methodology\DB Administration,5
384,Data Platform\Methodology\Disaster Recovery,5
385,Data Platform\Methodology\ETL,5
386,Data Platform\Methodology\Install and Config,5
387,Data Platform\Methodology\OLAP Database Design,5
388,Data Platform\Methodology\OLTP Database Design,5
389,Data Platform\Methodology\Performance Tuning,5
390,Data Platform\Methodology\Programming,5
391,Data Platform\Methodology\Replication,5
392,Data Platform\Methodology\Stream / Event Processing,5
393,Data Platform\Other\Adobe Analytics,5
394,Data Platform\Other\AWS S3,5
395,Data Platform\Other\Azure: Blob Storage,5
396,Data Platform\Other\Azure: CosmosDB,5
397,Data Platform\Other\Azure: Databricks,5
398,Data Platform\Other\Elasticsearch,5
399,Data Platform\Other\I can do simple things w/ SQL,5
400,Data Platform\Other\Managed teams performing many of these activities,5
401,Data Platform\Other\MarkLogic,5
402,Data Platform\Other\Quest Migration Tool - Lotus Notes to Sharepoint 2010,5
403,Data Platform\Other\RhinoETL,5
404,Data Platform\Other\SQLite,5
405,Data Platform\Reporting\Business Objects,5
406,Data Platform\Reporting\Crystal Reports,5
407,Data Platform\Reporting\Performance Point,5
408,Data Platform\Reporting\Power BI,5
409,Data Platform\Reporting\Power View,5
410,Data Platform\Reporting\PowerPivot,5
411,Data Platform\Reporting\QlikView,5
412,Data Platform\Reporting\Report And Dashboard Design,5
413,Data Platform\Reporting\SSRS,5
414,Data Platform\Reporting\Tableau,5
415,Data Platform\zNOT IN USE\AWS: ElastiCache,5
416,Data Platform\zNOT IN USE\AWS: Machine Learning,5
417,Data Platform\zNOT IN USE\Azure: Machine Learning,5
418,Data Platform\zNOT IN USE\Azure: Redis Cache,5
419,Data Platform\zNOT IN USE\Database: Key / Value DB,5
420,Data Platform\zNOT IN USE\Database: T-SQL,5
421,Delivery\Activity\Architecture Assessment,6
422,Delivery\Activity\Facilitate Whiteboard Session,6
423,Delivery\Activity\User Story Estimation,6
424,Delivery\Lead\Big Teams (>20 members),6
425,Delivery\Lead\Client Developers,6
426,Delivery\Lead\Client QA,6
427,Delivery\Lead\Manila Developers,6
428,Delivery\Lead\Manila QA,6
429,Delivery\Lead\MDC-Developers,6
430,Delivery\Lead\MDC-QAT,6
431,Delivery\Lead\Medium Teams (8-20 members),6
432,Delivery\Lead\Remote Teams,6
433,Delivery\Lead\Small Teams (1-8 members),6
434,Delivery\Lead\Test Automation,6
435,Delivery\Other\DevOps Engineer,6
436,Delivery\Other\Documentation,6
437,Delivery\Other\Lead and Mentor Client Business Analysts,6
438,Delivery\Other\Role: Data Architect and SDLC process improvement,6
439,Delivery\Other\Software Implementation and Support,6
440,Delivery\Other\Solution Architect,6
441,Delivery\Other\Support,6
442,Delivery\Role\Architect,6
443,Delivery\Role\Automation Engineer,6
444,Delivery\Role\Business Analyst,6
445,Delivery\Role\Designer,6
446,Delivery\Role\Developer,6
447,Delivery\Role\Development Lead,6
448,Delivery\Role\Development/Project Manager,6
449,Delivery\Role\Digital Business Consultant,6
450,Delivery\Role\Manual Tester,6
451,Delivery\Role\Program Manager,6
452,Delivery\Role\QA Lead,6
453,Delivery\Role\Release Train Engineer,6
454,Delivery\Role\Scrum Master,6
455,DevOps\ALM\Azure DevOps,7
456,DevOps\ALM\GitHub project management,7
457,DevOps\ALM\JIRA,7
458,DevOps\ALM\Micro Focus ALM (formerly HP ALM),7
459,DevOps\ALM\Rally,7
460,DevOps\ALM\TFS,7
461,DevOps\ALM\Version One,7
462,DevOps\Architecture\12 Factor,7
463,DevOps\Architecture\Microservices,7
464,DevOps\Architecture\Threat modeling,7
465,DevOps\Artifact\ JFrog/Artifactory,7
466,DevOps\Artifact\ NuGet,7
467,DevOps\Artifact\ SonaType/Nexus,7
468,DevOps\Build Engineering\Azure Pipelines,7
469,DevOps\Build Engineering\Bitbucket Pipelines,7
470,DevOps\Build Engineering\BTDF,7
471,DevOps\Build Engineering\Continuous Integration,7
472,DevOps\Build Engineering\MS Build,7
473,DevOps\Build Engineering\PCF CLI,7
474,DevOps\Build Engineering\Team City,7
475,DevOps\Build Engineering\TFS Build,7
476,DevOps\Build\Ant,7
477,DevOps\Build\Gradle,7
478,DevOps\Build\Grunt,7
479,DevOps\Build\Gulp,7
480,DevOps\Build\Jenkins,7
481,DevOps\Build\Maven,7
482,DevOps\Build\Visual Studio App Center,7
483,DevOps\Build\VS Team Services Build,7
484,DevOps\Code Profiling\AQTime,7
485,DevOps\Code Profiling\FxCop,7
486,DevOps\Code Profiling\SonarQube,7
487,DevOps\Code Profiling\Windows Performance Toolkit,7
488,DevOps\Deploy\ Azure deploy,7
489,DevOps\Deploy\Ansible,7
490,DevOps\Deploy\Apple Store,7
491,DevOps\Deploy\Docker,7
492,DevOps\Deploy\Google Play Store,7
493,DevOps\Deploy\HockeyApp,7
494,DevOps\Deploy\MS Deploy,7
495,DevOps\Deploy\Octopus,7
496,DevOps\Deploy\PowerShell,7
497,DevOps\Deploy\VS Release Management,7
498,DevOps\Deploy\Windows Store,7
499,DevOps\Deployment\Azure Pipelines,7
500,DevOps\Monitoring\App Insights,7
501,DevOps\Monitoring\AppDynamics,7
502,DevOps\Monitoring\Dynatrace,7
503,DevOps\Monitoring\Google analytics,7
504,DevOps\Operations\Azure,7
505,DevOps\Operations\BTS Operations,7
506,DevOps\Operations\System Center Operations Manager (SCOM),7
507,DevOps\Operations\VMware Workstation,7
508,DevOps\Orchestration\Azure Container Service,7
509,DevOps\Orchestration\Docker Swarm,7
510,DevOps\Orchestration\Helm,7
511,DevOps\Orchestration\Kubernetes,7
512,DevOps\Orchestration\PCF CLI,7
513,DevOps\Orchestration\Terraform,7
514,DevOps\Other\Azure ARM templates,7
515,DevOps\Other\Build Engineering: Bamboo,7
516,DevOps\Other\Build Engineering: CruiseControl,7
517,DevOps\Other\Cake Build,7
518,DevOps\Other\ELK Stack,7
519,DevOps\Other\JIRA,7
520,DevOps\Other\Managed a DevOps team for 5+ years,7
521,DevOps\Other\MemProfiler for .NET,7
522,DevOps\Other\No Experience. Required to answer for profile.,7
523,DevOps\Other\Performance: Jetbrains DotTrace,7
524,DevOps\Other\Performance: VS Profiler,7
525,DevOps\Other\Redgate DLM Build and Deploy,7
526,DevOps\Other\RedGate memory and performance profilers,7
527,DevOps\Other\Specialty DevOps: SharePoint FrameWork and PnP CI\CD,7
528,DevOps\Other\Supported and Created Metrics Dashboard for CI  adoption at Macy's,7
529,DevOps\Other\Visual Studio App Center,7
530,DevOps\Quality\Reporting,7
531,DevOps\Quality\Test Automation,7
532,DevOps\Quality\Unit testing,7
533,DevOps\Quality\VS Lab Management,7
534,DevOps\Version Control\CVS,7
535,DevOps\Version Control\Git,7
536,DevOps\Version Control\Mecurial,7
537,DevOps\Version Control\Subversion,7
538,DevOps\Version Control\Team Foundation Version Control,7
539,DevOps\zNOT IN USE\Static Code Analysis: Resharper,7
540,DevOps\zNOT IN USE\Static Code Analysis: SonarLint,7
541,DevOps\zNOT IN USE\Static Code Analysis: SonarQube,7
542,DevOps\zNOT IN USE\Static Code Analysis: Veracode,7
543,Integration Platform\Azure\Integration Services,8
544,Integration Platform\Azure\Logic Apps,8
545,Integration Platform\Azure\Service Bus,8
546,Integration Platform\BizTalk\BTS 2010 or Older,8
547,Integration Platform\BizTalk\BTS 2013,8
548,Integration Platform\BizTalk\BTS BAM,8
549,Integration Platform\BizTalk\BTS EDI/ Health,8
550,Integration Platform\BizTalk\BTS EDI/ Supply Chain,8
551,Integration Platform\BizTalk\BTS Integration,8
552,Integration Platform\BizTalk\BTS RYO Adapters,8
553,Integration Platform\BizTalk\BTS RYO Pipeline Components,8
554,Integration Platform\BizTalk\BTS SOAP,8
555,Integration Platform\BizTalk\BTS XSLT,8
556,Integration Platform\BizTalk\SSIS Integration,8
557,Integration Platform\Other\Apache ActiveMQ Message Broker,8
558,Integration Platform\Other\Azure Logic Apps,8
559,Integration Platform\Other\BizTalk 2016,8
560,Integration Platform\Other\I know it's to promote XML,8
561,Integration Platform\Other\Kafka message broker,8
562,Integration Platform\Other\Logic Apps,8
563,Integration Platform\Other\n/a,8
564,Integration Platform\Other\NetMQ,8
565,Integration Platform\Other\No experience. Required to answer for profile completeness,8
566,Integration Platform\Other\none,8
567,Integration Platform\Other\RabbitMQ as a messaging platform in PCF,8
568,Integration Platform\Other\RhinoETL,8
569,Integration Platform\Other\SSIS,8
570,Project Management\Methodolgy\SAFe Scrum Master,9
571,Project Management\Methodology\Agile / Kanban,9
572,Project Management\Methodology\Agile / SCRUM,9
573,Project Management\Methodology\Agile / Scrumban,9
574,Project Management\Methodology\Agile BI,9
575,Project Management\Methodology\Agile Business Analysis,9
576,Project Management\Methodology\Agile Testing,9
577,Project Management\Methodology\Context-Driven Testing,9
578,Project Management\Methodology\Data Warehousing,9
579,Project Management\Methodology\Dimensional Modeling,9
580,Project Management\Methodology\Facilitator: Backlog Workshop,9
581,Project Management\Methodology\Magenic Foundation,9
582,Project Management\Methodology\Magenic Scaled Foundation,9
583,Project Management\Methodology\Portfolio Management,9
584,Project Management\Methodology\Project Management,9
585,Project Management\Methodology\Quality Assurance Process,9
586,Project Management\Methodology\Requirements Elicitation,9
587,Project Management\Methodology\Risk-Based Testing,9
588,Project Management\Methodology\SAFe Advanced Scrum Master,9
589,Project Management\Methodology\SAFe Agilist,9
590,Project Management\Methodology\SAFe Practitioner,9
591,Project Management\Methodology\Scaled Agile Framework (SAFe),9
592,Project Management\Methodology\User Experience Design Process,9
593,Project Management\Other\Build/ develop/ and grow business relationships vital to the success of the project,9
594,Project Management\Other\Develop and deliver progress reports/ proposals and presentations,9
595,Project Management\Other\Liaison between the business units/ technology teams and support teams,9
